NFA,smiles
78_48_48_48_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
78_5_5_5_78,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=CC1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C=C1C(=O)C2=CC3=C(C=C(C(=C3)F)F)C=C2C1=C(C#N)C#N
82_48_48_48_82,C1(=C(C#N)C#N)C2=C(C=C(C=C2)F)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C=C2)F
84_48_48_48_84,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)C(=O)OC)C#N
85_48_48_48_85,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C(C(=C2)C(=O)OC)C(=O)OC
87_48_48_48_87,C1(=C(C#N)C#N)C2=C(C=CC(=C2)C)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=CC(=C2)C
88_48_48_48_88,C1(=O)C2=C(C=C(C(=C2)Br)Br)C(=C(C#N)C#N)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=C(C1=C(C#N)C#N)C=C(C(=C2)Br)Br
90_11_11_11_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
90_15_15_15_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C1=Cc2c(S1)c1c(s2)C=C(S1)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
90_30_30_30_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
90_39_39_39_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
90_48_48_48_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
90_5_5_5_90,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=CC1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4)C=C1C(=C(C#N)C#N)C2=C(C1=O)C=C1C(=C2)C=CC=C1
96_48_48_48_96,C12=CSC(C)=C1C(=O)C(C2=C(C#N)C#N)=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=C(SC=C2C1=C(C#N)C#N)C
99_48_48_48_99,C1(=O)C2=C(C=CC(=C2)Br)C(=C(C#N)C#N)C1=CC1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3)C=C1C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Br
