PCE,below18,above18
15.381405,15.381405,
15.390537,15.390537,
15.39087,15.39087,
15.40046,15.40046,
15.403146,15.403146,
15.408916,15.408916,
15.410229,15.410229,
15.413191,15.413191,
15.424337,15.424337,
15.428825,15.428825,
15.429585,15.429585,
15.430294,15.430294,
15.433097,15.433097,
15.440194,15.440194,
15.455612,15.455612,
15.455614,15.455614,
15.466349,15.466349,
15.469516,15.469516,
15.470717,15.470717,
15.489799,15.489799,
15.494832,15.494832,
15.498762,15.498762,
15.516544,15.516544,
15.517276,15.517276,
15.518454,15.518454,
15.530506,15.530506,
15.539668,15.539668,
15.542753,15.542753,
15.543729,15.543729,
15.547243,15.547243,
15.548884,15.548884,
15.55143,15.55143,
15.560734,15.560734,
15.564545,15.564545,
15.567902,15.567902,
15.58399,15.58399,
15.588676,15.588676,
15.590418,15.590418,
15.601775,15.601775,
15.603164,15.603164,
15.607389,15.607389,
15.612724,15.612724,
15.613921,15.613921,
15.615535,15.615535,
15.630492,15.630492,
15.637345,15.637345,
15.63805,15.63805,
15.641217,15.641217,
15.642714,15.642714,
15.648409,15.648409,
15.666278,15.666278,
15.672747,15.672747,
15.672851,15.672851,
15.673138,15.673138,
15.675086,15.675086,
15.676177,15.676177,
15.684873,15.684873,
15.68794,15.68794,
15.692079,15.692079,
15.695743,15.695743,
15.698289,15.698289,
15.701041,15.701041,
15.702208,15.702208,
15.705783,15.705783,
15.711737,15.711737,
15.713534,15.713534,
15.723689,15.723689,
15.728091,15.728091,
15.729909,15.729909,
15.733552,15.733552,
15.741191,15.741191,
15.743852,15.743852,
15.75584,15.75584,
15.759392,15.759392,
15.761063,15.761063,
15.763328,15.763328,
15.76818,15.76818,
15.771133,15.771133,
15.77345,15.77345,
15.773736,15.773736,
15.779243,15.779243,
15.794429,15.794429,
15.795871,15.795871,
15.796992,15.796992,
15.802343,15.802343,
15.805344,15.805344,
15.810204,15.810204,
15.811058,15.811058,
15.819361,15.819361,
15.824526,15.824526,
15.832173,15.832173,
15.83352,15.83352,
15.834944,15.834944,
15.836066,15.836066,
15.836643,15.836643,
15.840206,15.840206,
15.84541,15.84541,
15.846775,15.846775,
15.848136,15.848136,
15.850865,15.850865,
15.851774,15.851774,
15.852065,15.852065,
15.855898,15.855898,
15.857706,15.857706,
15.861423,15.861423,
15.863934,15.863934,
15.864479,15.864479,
15.865384,15.865384,
15.86865,15.86865,
15.877479,15.877479,
15.87824,15.87824,
15.890163,15.890163,
15.898866,15.898866,
15.901695,15.901695,
15.901979,15.901979,
15.904257,15.904257,
15.90827,15.90827,
15.910928,15.910928,
15.916089,15.916089,
15.925568,15.925568,
15.934166,15.934166,
15.937484,15.937484,
15.939251,15.939251,
15.941429,15.941429,
15.945458,15.945458,
15.947772,15.947772,
15.954177,15.954177,
15.954375,15.954375,
15.957414,15.957414,
15.971026,15.971026,
15.974183,15.974183,
15.974594,15.974594,
15.986322,15.986322,
15.986622,15.986622,
15.989762,15.989762,
15.990389,15.990389,
15.992166,15.992166,
16.003692,16.003692,
16.006121,16.006121,
16.00821,16.00821,
16.017066,16.017066,
16.019012,16.019012,
16.02071,16.02071,
16.025517,16.025517,
16.031528,16.031528,
16.040087,16.040087,
16.043515,16.043515,
16.050978,16.050978,
16.057431,16.057431,
16.059568,16.059568,
16.059954,16.059954,
16.063697,16.063697,
16.069059,16.069059,
16.072558,16.072558,
16.075481,16.075481,
16.078257,16.078257,
16.078727,16.078727,
16.078765,16.078765,
16.080092,16.080092,
16.080612,16.080612,
16.088958,16.088958,
16.101064,16.101064,
16.101849,16.101849,
16.107897,16.107897,
16.11024,16.11024,
16.112549,16.112549,
16.121726,16.121726,
16.126042,16.126042,
16.134576,16.134576,
16.135769,16.135769,
16.140358,16.140358,
16.149127,16.149127,
16.150233,16.150233,
16.156805,16.156805,
16.168311,16.168311,
16.170318,16.170318,
16.185394,16.185394,
16.190699,16.190699,
16.190986,16.190986,
16.191521,16.191521,
16.196268,16.196268,
16.197335,16.197335,
16.19971,16.19971,
16.19987,16.19987,
16.206338,16.206338,
16.21847,16.21847,
16.221711,16.221711,
16.227329,16.227329,
