index,SMILES,frequency
227,c1c2c(cccc2)cc2c1c(ccc2),0
228,c1cc(cnc1),0
229,c1c(OC)cc(c(c1)OCC(CC)CC),0
230,c1sc(c2c1OSCCO2)C=C,1
231,c1cCcc1,0
232,c1sc(c2c1nc(CN)c(CN)n2)C=C,1
233,c1sc(c2c1OCCS2)C=C,0
234,c1scc2c1C=C(C2)C=C,0
235,C1=C2C(C(=O)N1)=C(OC2=O)C=C,0
236,c1sc(c2c1cc(S)cc2)C=C,0
237,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O)C=C,0
238,c1oc(c(c1C)C),0
239,c1c2c(=O)sc(=O)c2c(c2c1c(=O)sc2=O),0
240,c1occc1SC=C,0
241,c1c(OCC)cc(OCC)c(c1)C=C,0
242,c1scc(C(=O)OC)c1C=C,0
243,C1=C(Cc2c(C1)nsn2),0
244,c1sc(c2c1ncs2),0
245,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1,2
246,c1c(C)Nc(C)c1,0
247,c1ccc(=O)c1C=C,0
248,c1cscc1C(=O)O,1
249,c(s1)c(O)c(NN)c1,0
250,c1sccc1N(CC),0
251,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1,0
252,C(=S)[CH]C1=[S]C=C(O1)C=C,1
253,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N),0
254,C1OCC1,0
255,c1c(F)sc(F)c1,1
256,c1sc(C=O)c(c1)C=C,0
257,c1c(nc2cSc12)C=C,1
258,c1sc(c2c1OCCS2),1
259,c1sc(c2c1oc(N(=O)=O)c2)C=C,3
260,N1[C@H]2[C@H](N[C@@H]3[C@@H](CSC3)N2)N(S1)C=C,0
261,c1sc(c2c1[C@H](F)CC[C@H]2F)C=C,1
262,c1scc(OC)c1NC=C,0
263,C1=[S]C(=C(O1)[N]C=O)C=C,0
264,c1sc(c2c1cc(C(=O)C(F)(F)F)cc2)C=C,1
265,c1c(C#N)sc(OC)c1,1
266,c1cc2c(cc1)c1c(C2)cc(cc1),0
267,c1cscc1C(=O)OC=C,0
268,c1c(O)sc2c1[nH]c1c2sc(c1)C=C,0
269,c1c(F)cccc1,0
270,c1sc(c2c1c(F)ccc2F),1
271,c1c(OCC)cc(CC)c(OCC)c1,1
272,C1=C2OCCSC2=C([S@@]1NC)C=C,0
273,c1sc(c2c1C(=O)OC2=O),0
274,C1=C(C(=C[S@@]1O)O)C=C,5
275,C1=C/C(/C(=C1)F)=C\1/C=C(C=C1F)C=C,56
276,c1sc(c2c1SCS2),0
277,c1cccc2c1n(c1c2cccc1)C=C,0
278,c1cc(c(cc1)N(c1ccccc1)c1ccccc1),0
279,C1=C/C(/C(=C1)C#N)=C\1/C=C(C=C1C#N)C=C,0
280,c1sc2C3=C([CH]S3)Cc2c1C=C,0
281,c1sc(c2c1OCCO2),0
282,c(o1)c2c(=O)Nc(=O)c2c1,0
283,c1sc(c2c1cc(C(=O)C(F)(F)F)cc2),0
284,N1c2cscc2N(C1)C=C,0
285,C1=C2C(C(=O)O1)=C(OC2=O),0
286,C1SC=C1C(=O)C,0
287,c1c2cS(F)cc2ccc1,0
288,c1scc(C(=O)O)c1S,1
289,c(s1)c2ccs(=N)(=O)c2c1C=C,0
290,c1sc(c2c1nccn2)C=C,0
291,c1cc(CC)c(c(c1)CC)/C=C(/C)C=C,0
292,c1[nH]c(c2c1nccn2)C=C,0
293,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O),0
294,c1sc(c2c1c(C#N)ccc2C#N)C=C,0
295,c1c2nc(C)c(C)nc2c(s1)C=C,0
296,c1sc(c(c1)C(=O)C),0
297,c1c2nsnc2c(cc1)C=C,0
298,c(s1)cc(c(=S)2)c1c(s3)c2cc3C=C,0
299,c1sc(c2c1[C@H](C(=O)C)CCC2),0
300,c1sc(c2c1cc(C(=O)C)cc2),0
301,c1sc(c2c1C(=O)NC2=O)C=C,1
302,C1=C(Cc2c(C1)nsn2)C=C,1
303,c1sc(c2c1OCCCS2)C=C,0
304,c(s1)cc(c(=O)2)c1c(s3)c2cc3,0
305,c1sc(c2c1cc(C#N)c(OC)c2),0
306,c1[nH]c(/C=C/c2[nH]ccc2)c(c1),2
307,c1sc2c(c3ccoc3cc2c1),0
308,c1c(C(=O)C(F)(F)F)scc1C=C,1
309,c1[nH]cc2c1S(=O)(=O)C(=C2),0
310,c1c2cscc2c(nn1)C=C,0
311,c1sc(c2c1sc(=S)s2),2
312,c1[nH]c(cc1)C#C,14
313,c1ccc(s1),0
314,c1sc(c(c1C)C)C=C,0
315,C1=CC=C(S1(=O)=O)C=C,1
316,C1S[C@@H]2[C@@H]1NCC2C=C,0
317,c1c2c(sc(C(=O)OCC)c2F)c(s1),0
318,c1sc(c2c1CN2),0
319,c1scc2c1C[C@@H](CC2)C(=C)C=C,0
320,c1[nH]c(C=C)c(c1)C=C,0
321,c1oc(c(c1O)C(=O)O),1
322,c1oc(c(c1O)S),2
323,c1cc2c(s1)c1c([nH]2)cc(s1)C=C,3
324,c1c(N)ccc(c1)C=C,0
325,c1sc(c2c1cc(N(=O)=O)cc2)C=C,0
326,C1=C2C(C(=O)O1)=C(OC2=O)C=C,1
327,c1c(S)sc(O)c1C=C,0
328,C(=C)N=NC=C,0
329,c1sc(c2c1occ2),0
330,c1sc(c2c1cc(N(=O)=O)c(N)c2),0
331,c1sc(c2c1SCS2)C=C,1
332,C1=C2C(C(=O)S1)=C(OC2=O),0
333,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F),0
334,c1sc(c(c1O)C#N),0
335,C1=C(C=C/C/1=C\1/C=CC(=C1)N)N,0
336,c1[nH]c(=O)c2c1c(=O)[nH]c2,0
337,c1oc2c(c1)C(=O)c1c2sc(c1)C=C,0
338,c1sc(C)c(c1),0
339,c1[nH]c(c(c1)C(=O)C),0
340,c1sc(c2c1[C@H](C(F)(F)F)CCC2)C=C,1
341,c(s1)c2cc(OC)c(OC)cc2c1C=C,1
342,C1C[C@@H]2[C@@H](CC1)N(CC)[C@@H]1[C@@H](S2)CCCC1,1
343,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1C=C,0
344,c1oc(cc1C(=O)O),1
345,c1cc(N(=O)=O)c(cc1)C=C,0
346,c1sc(c(c1OCC)ON(=O)=O),0
347,c1oc(cc1C#N)C=C,0
348,C1=[S]C(=C(S1)C(=O)C)C=C,0
349,c1sc(c2c1[C@H](C#N)CC[C@H]2C#N)C=C,0
350,c1sc(c2c1nc(OCC)c(OCC)n2)C=C,0
351,c1scc2c1c1c(s2)sc(c1)C=C,0
352,c1sc(c2c1oc(=O)o2)C=C,0
353,c1scc2c1c(ccc2O),0
354,c1c2c(ncc(C)n2)c(s1),0
355,c1c(C)cc(s1),0
356,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2),1
357,c1oc2cc(sc2c1),1
358,c1sc(c2c1C[C@H](S)[C@@H](O)C2),0
359,c1c(OCCC)c(cc(c1)OCCC)C=C,0
360,c1[nH]c(c2c1nccn2),0
361,c(s1)c2scnc2c1,0
362,C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1,1
363,c1sc(c2c1C[C@H](C#N)[C@@H](OC)C2)C=C,0
364,c1c(F)c(F)c(c(c1F)F)C=C,0
365,N1[C@H]2CSC[C@H]2N(S1),0
366,C1=C(C(=C[S@@]1O)O),0
367,c1c2nc(CC)c(CC)nc2c(s1)C=C,0
368,c1sc(c2c1c(S)ccc2O)C=C,0
369,c1occc1C=C,0
370,c1sc2c(c1)c1c(scc1)c(c2)C=C,0
371,c1sc(c2c1c(C(F)(F)F)ccc2OC),0
372,C1=[S]C(=C(S1)C(=O)C),0
373,C1Oc2cscc2OC(C1=O),0
