gen,filename,deltaHOMO,summedoscs,PCE,donor
8,148_275_59_275_148,0.760000,5.431125,13.875656,PBDB-T-SF,
8,12_312_137_312_12,0.540000,5.858135,13.527549,PBDB-T-SF,
8,12_31_127_31_12,0.300000,6.000826,12.702834,PBDB-T-SF,
9,62_169_5_169_62,0.730000,9.375389,19.179257,PBDB-T-SF,
9,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
9,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
9,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
9,62_275_5_275_62,0.760000,8.454161,18.038377,PBDB-T-SF,
9,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
9,76_275_172_275_76,0.940000,7.830108,17.944955,PBDB-T-SF,
9,62_275_172_275_62,0.940000,7.775607,17.869907,PBDB-T-SF,
9,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
9,62_275_64_275_62,0.840000,7.761542,17.425040,PBDB-T-SF,
9,62_799_59_799_62,1.670000,5.150969,17.361931,PBDB-T-SF,
9,12_275_5_275_12,0.780000,7.815847,17.244517,PBDB-T-SF,
9,62_312_59_312_62,0.950000,7.246109,17.183339,PBDB-T-SF,
9,62_701_59_701_62,1.180000,6.475297,17.100580,PBDB-T-SF,
9,12_169_59_169_12,0.750000,7.796734,17.090549,PBDB-T-SF,
9,62_169_127_169_62,0.450000,8.615912,16.942057,PBDB-T-SF,
9,62_275_75_275_62,0.590000,8.178344,16.935226,PBDB-T-SF,
9,12_744_59_744_12,1.090000,6.534020,16.798492,PBDB-T-SF,
9,12_275_59_275_12,0.920000,7.031066,16.759574,PBDB-T-SF,
9,110_169_64_169_110,0.500000,8.181521,16.556650,PBDB-T-SF,
9,12_275_172_275_12,0.920000,6.852989,16.514362,PBDB-T-SF,
9,62_135_62_135_62,0.420000,7.954946,15.904257,PBDB-T-SF,
9,12_275_116_275_12,0.790000,6.772853,15.850865,PBDB-T-SF,
9,12_306_59_306_12,0.770000,6.805125,15.810204,PBDB-T-SF,
9,12_479_59_479_12,0.840000,6.031794,15.043177,PBDB-T-SF,
9,62_744_57_744_62,0.620000,6.502288,14.754946,PBDB-T-SF,
9,62_744_96_744_62,0.820000,5.822717,14.670177,PBDB-T-SF,
9,62_135_130_135_62,0.310000,6.857054,13.924410,PBDB-T-SF,
9,174_275_59_275_174,0.740000,5.335978,13.659538,PBDB-T-SF,
9,182_275_64_275_182,0.640000,5.584633,13.576437,PBDB-T-SF,
9,12_377_75_377_12,0.520000,5.270324,12.633032,PBDB-T-SF,
9,152_275_75_275_152,0.480000,5.370923,12.601358,PBDB-T-SF,
10,62_169_5_169_62,0.730000,9.375389,19.179257,PBDB-T-SF,
10,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
10,12_135_59_135_12,1.350000,7.198446,18.819707,PBDB-T-SF,
10,62_169_135_169_62,0.740000,8.697948,18.288970,PBDB-T-SF,
10,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
10,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
10,62_275_5_275_62,0.760000,8.454161,18.038377,PBDB-T-SF,
10,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
10,76_275_172_275_76,0.940000,7.830108,17.944955,PBDB-T-SF,
10,62_275_172_275_62,0.940000,7.775607,17.869907,PBDB-T-SF,
10,62_169_196_169_62,0.470000,9.218454,17.856858,PBDB-T-SF,
10,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
10,62_275_64_275_62,0.840000,7.761542,17.425040,PBDB-T-SF,
10,62_275_96_275_62,0.960000,7.350698,17.369908,PBDB-T-SF,
10,62_799_59_799_62,1.670000,5.150969,17.361931,PBDB-T-SF,
10,62_275_129_275_62,0.750000,7.981261,17.344643,PBDB-T-SF,
10,12_275_5_275_12,0.780000,7.815847,17.244517,PBDB-T-SF,
10,62_312_59_312_62,0.950000,7.246109,17.183339,PBDB-T-SF,
10,62_701_59_701_62,1.180000,6.475297,17.100580,PBDB-T-SF,
10,12_169_59_169_12,0.750000,7.796734,17.090549,PBDB-T-SF,
10,62_169_127_169_62,0.450000,8.615912,16.942057,PBDB-T-SF,
10,12_356_59_356_12,1.290000,5.485978,16.206338,PBDB-T-SF,
10,62_786_59_786_62,1.080000,5.954116,15.957414,PBDB-T-SF,
10,103_275_127_275_103,0.730000,6.967747,15.863934,PBDB-T-SF,
10,62_704_172_704_62,0.840000,6.577365,15.794429,PBDB-T-SF,
10,62_275_126_275_62,0.640000,7.121048,15.692079,PBDB-T-SF,
10,292_275_59_275_292,0.740000,6.079375,14.683196,PBDB-T-SF,
10,64_275_59_275_64,0.980000,4.996123,14.212757,PBDB-T-SF,
10,12_169_167_169_12,0.010000,7.100580,12.983246,PBDB-T-SF,
10,168_377_5_377_168,0.280000,5.071577,11.338158,PBDB-T-SF,
10,12_312_209_312_12,0.040000,4.630519,9.709621,PBDB-T-SF,
10,12_377_225_377_12,0.130000,3.915471,9.107950,PBDB-T-SF,
11,62_137_59_137_62,0.840000,9.280768,19.517014,PBDB-T-SF,
11,62_169_5_169_62,0.730000,9.375389,19.179257,PBDB-T-SF,
11,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
11,12_135_59_135_12,1.350000,7.198446,18.819707,PBDB-T-SF,
11,76_135_59_135_76,1.360000,7.112113,18.743376,PBDB-T-SF,
11,76_169_5_169_76,0.690000,8.896615,18.349785,PBDB-T-SF,
11,62_169_135_169_62,0.740000,8.697948,18.288970,PBDB-T-SF,
11,62_275_135_275_62,0.890000,8.232710,18.286588,PBDB-T-SF,
11,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
11,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
11,62_275_5_275_62,0.760000,8.454161,18.038377,PBDB-T-SF,
11,76_275_59_275_76,0.940000,7.848014,17.969611,PBDB-T-SF,
11,76_275_172_275_76,0.940000,7.830108,17.944955,PBDB-T-SF,
11,62_275_172_275_62,0.940000,7.775607,17.869907,PBDB-T-SF,
11,62_169_196_169_62,0.470000,9.218454,17.856858,PBDB-T-SF,
11,12_377_59_377_12,1.540000,5.750767,17.634702,PBDB-T-SF,
11,62_275_64_275_62,0.840000,7.761542,17.425040,PBDB-T-SF,
11,62_275_96_275_62,0.960000,7.350698,17.369908,PBDB-T-SF,
11,62_799_59_799_62,1.670000,5.150969,17.361931,PBDB-T-SF,
11,62_275_129_275_62,0.750000,7.981261,17.344643,PBDB-T-SF,
11,62_830_59_830_62,0.840000,7.365799,16.880102,PBDB-T-SF,
11,76_275_96_275_76,0.850000,7.238343,16.747145,PBDB-T-SF,
11,62_275_81_275_62,0.700000,7.554494,16.544234,PBDB-T-SF,
11,76_275_129_275_76,0.780000,7.244184,16.457337,PBDB-T-SF,
11,62_169_129_169_62,0.430000,7.987886,15.992166,PBDB-T-SF,
11,62_906_59_906_62,1.140000,5.789706,15.986322,PBDB-T-SF,
11,62_799_129_799_62,1.040000,5.101411,14.613040,PBDB-T-SF,
11,12_377_5_377_12,0.890000,5.225825,14.146108,PBDB-T-SF,
11,76_275_27_275_76,0.280000,7.063250,14.080692,PBDB-T-SF,
11,12_377_196_377_12,0.720000,5.487205,13.782677,PBDB-T-SF,
11,62_377_5_377_62,0.280000,6.710070,13.594363,PBDB-T-SF,
11,153_275_129_275_153,0.440000,6.008612,13.309255,PBDB-T-SF,
12,62_137_59_137_62,0.840000,9.280768,19.517014,PBDB-T-SF,
12,0_135_59_135_0,1.380000,7.411966,19.241373,PBDB-T-SF,
12,62_169_5_169_62,0.730000,9.375389,19.179257,PBDB-T-SF,
12,62_135_59_135_62,1.330000,7.291157,18.862270,PBDB-T-SF,
12,62_911_59_911_62,0.970000,8.398235,18.854916,PBDB-T-SF,
12,62_137_221_137_62,0.610000,9.490957,18.827794,PBDB-T-SF,
12,12_135_59_135_12,1.350000,7.198446,18.819707,PBDB-T-SF,
12,76_135_59_135_76,1.360000,7.112113,18.743376,PBDB-T-SF,
12,76_137_59_137_76,0.800000,8.771017,18.644886,PBDB-T-SF,
12,76_169_5_169_76,0.690000,8.896615,18.349785,PBDB-T-SF,
12,62_169_135_169_62,0.740000,8.697948,18.288970,PBDB-T-SF,
12,62_275_135_275_62,0.890000,8.232710,18.286588,PBDB-T-SF,
12,62_275_59_275_62,0.960000,8.006672,18.273183,PBDB-T-SF,
12,62_169_59_169_62,0.690000,8.752786,18.151733,PBDB-T-SF,
