,SMILES,new name,old name,homo,lumo,bandgap,new dft filename
217,c1sc(c2c1cc(C#N)cc2),217,915,-6.198508612,-2.341702952,3.85680566,
218,c1csc2c1n(CC)c1c2scc1,218,486,-5.263960804,-0.75854457,4.505416234,
219,c1oc(cc1C=O)C=C,219,222,-6.386566494,-1.582695789,4.803870705,
220,c1sc(c2c1[nH]cn2),220,613,-5.800569317,-0.877784859,4.922784458,
221,c1ccc2c(c1)oc1c2ccc(c1)C=C,221,632,-5.958204871,-1.634669534,4.323535337,
222,c1sc(CC)c(c1CC),222,22,-6.050505889,-0.289474714,5.761031175,
223,c1cc2c(cc1)C(C(=O)N2CC)C1C(=O)Nc2cc(ccc12),223,719,-6.044328904,-0.864859451,5.179469453,
224,c1oc(c(c1O)C(=O)O)C=C,224,834,-6.139568752,-2.200285384,3.939283368,
225,c1ccc2c(c1)C(=O)c1c2ccc(c1),225,635,-6.461996453,-2.466603209,3.995393244,
226,c1sc(c2c1C(=O)OC2=O)C=C,226,667,-7.018306009,-2.641953375,4.376352634,
227,c1oc(nc1),227,844,-7.076973755,-0.265474273,6.811499482,
228,c1sc(c2c1C[C@H](F)[C@@H](F)C2),228,76,-6.631632228,-0.791334289,5.840297939,
229,c1sc(c(c1SCC)SCC)C=C,229,597,-5.66271644,-1.337847746,4.324868694,
230,c1sc(c2c1cc(C(C)(C)C)cc2)C=C,230,443,-5.27979783,-1.844278833,3.435518997,
231,c1sc(c(c1)C=O),231,655,-7.098634018,-1.712466884,5.386167134,
232,c1oc(c(c1)N(=O)=O),232,627,-7.454096341,-2.437078856,5.017017485,
233,c(s1)c2c(=O)n(C)c(=O)c2c1,233,601,-5.931102331,-2.59452393,3.336578401,duplicate
234,c1sc(c2c1cc(C=C)cc2)C=C,234,263,-5.354357025,-2.040799456,3.313557569,
235,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2),235,885,-6.201637921,-2.770064575,3.431573346,
236,c1oc2c(C(=O)N)c(oc2c1)C=C,236,63,-5.758609361,-1.669663375,4.088945986,
237,c1c2c(ccs1)nc1c2sc(c1),237,702,-5.76054137,-2.113236163,3.647305207,
238,c1oc2c(c1)C(=S)c1c2oc(c1)C=C,238,674,-5.47999199,-3.204385492,2.275606498,
239,c1c(OCCC)c(cc(c1)OCCC),239,996,-5.464372655,-0.196792737,5.267579918,
240,c1[nH]cc2c1[nH]cc2C=C,240,209,-4.658997291,-0.157499497,4.501497794,
241,c1scc(N(O)O)c1N(O)O,241,107,-5.877577537,-0.491083866,5.386493671,
242,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O),242,677,-8.750310668,-4.082007083,4.668303585,
243,c1[nH]c(=O)c2c1c(=O)[nH]c2C=C,243,730,-5.753303141,-2.735424482,3.017878659,
244,c1nnc(nn1),244,502,-6.788941245,-3.243869212,3.545072033,
245,C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C=C,245,314,-4.812387869,-3.144248331,1.668139538,
246,c1[nH]cc2c1[nH]cc2,246,953,-4.62517354,0.496117972,5.121291512,
247,c1sc2c(c1)C(=O)c1c2sc(c1)C=C,247,484,-5.640267048,-2.705764072,2.934502976,
