,SMILES,new name,old name,homo,lumo,bandgap,
95,c1sc(c2c1[C@H](F)[C@H](F)[C@@H](F)[C@H]2F)C=C,95,651,-6.67549698,-1.848224484,4.827272496,
96,c1c(CC)c(ccc1)C=C,96,173,-6.258128757,-0.987310684,5.270818073,
97,c1sc(c2c1c(S)ccc2O),97,159,-5.391037972,-1.596628018,3.794409954,
98,c1[nH]c(/C=C/c2[nH]ccc2)c(c1)C=C,98,626,-4.777720564,-1.161164223,3.616556341,
99,C=NNc1ccc(cc1)C=C,99,294,-5.371581832,-1.044182479,4.327399353,
100,C(C(=O)1)C(=O)C1,100,648,-6.936018781,-1.797284771,5.13873401,
101,c1oc2c(n1)cc1c(c2)oc(n1),101,931,-6.81340428,-1.484027306,5.329376974,
102,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3C=C,102,997,-5.57822509,-1.594641587,3.983583503,
103,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1,103,335,-6.17823613,0.275488062,6.453724192,
104,c1sc(c2c1ocn2),104,215,-6.442431468,-1.287642741,5.154788727,
105,c1c2c(nccn2)c(c2c1nccn2),105,537,-6.74091315,-3.022395749,3.718517401,
106,c1sc(c2c1c(C)ccc2),106,55,-5.508727212,-1.527592734,3.981134478,
107,c1occ(N(=O)=O)c1NC=C,107,241,-5.77036468,-2.570659546,3.199705134,
108,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2)C=C,108,762,-6.215842264,-2.884352393,3.331489871,
109,c1[nH]cc(c1C)C=C,109,389,-5.489597609,0.004163342,5.493760951,
110,c1oc(cc1C(F)(F)F),110,521,-7.061163941,-0.46523305,6.595930891,
111,c1sc(c2c1[nH]cn2)C=C,111,986,-5.382330329,-1.372025246,4.010305083,
112,C1=CC=C(C1=S)C=C,112,246,-6.038913839,-3.590623892,2.448289947,
113,c1sc(c2c1[C@H](OC)CCC2),113,911,-6.175977585,-0.371789154,5.804188431,
114,N1[C@H]2CSC[C@H]2N(S1)C=C,114,634,-5.042541764,-0.763524253,4.279017511,
115,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C(F)(F)F)C=C,115,527,-6.377722794,-1.334936128,5.042786666,
116,N1C(=O)C=C(C1=O)C=C,116,82,-7.252759303,-2.923074193,4.32968511,
117,NCc1cc(OCC)c(cc1OCC)CNC=C,117,608,-5.33166273,-0.237120009,5.094542721,
118,c1oc(cc1C(=O)OC)C=C,118,511,-6.155868372,-1.247097777,4.908770595,
119,c1c(C(F)(F)F)sc(C#N)c1,119,67,-7.671624153,-2.479936788,5.191687365,
120,c1scc2c1c(c(cc2)O),120,564,-5.399908883,-1.461605125,3.938303758,
121,c1scc2c1N(CCN2C(=O)O)C=C,121,106,-5.609436548,-1.069271376,4.540165172,
122,c1sc(c2c1[C@H](C)CC[C@H]2C=C)C=C,122,775,-5.706553982,-1.224403482,4.4821505,
123,C1SCN2[C@H]1NCC2,123,234,-5.786364974,0.917459058,6.703824032,
124,c1[nH]cnc1C=C,124,767,-5.828705889,-0.452552545,5.376153344,
125,c1sc(c2c1cc(OC)c(OC)c2)C=C,125,884,-6.195624205,-0.404633296,5.790990909,
126,c1sc(c2c1nc(N)c(N)n2)C=C,126,562,-5.291444303,-1.741583066,3.549861237,
127,c1ccc(cc1)C=C,127,95,-6.280278824,-1.142932595,5.137346229,
128,c1sc(c(c1C(=O)O)OC)C=C,128,476,-6.487847269,-1.871190893,4.616656376,
129,c1sc(c2c1[nH]nc2)C=C,129,809,-5.480672274,-1.755841832,3.724830442,
130,c1ccc(cc1),130,169,-6.967148605,-0.253963857,6.713184748,
131,c1sc(c2c1[C@H](OC)CCC2)C=C,131,345,-5.744568287,-1.071693189,4.672875098,
132,c1c2c(OCN2)c(s1),132,64,-5.381976581,-0.036626524,5.345350057,duplicate
133,c1oc(cc1C=O),133,322,-6.950576872,-1.608437759,5.342139113,
134,c1scc2c1C(=[S@@](OC)C(=C2)OC)C=C,134,216,-5.149509718,-1.58253252,3.566977198,
135,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1),135,380,-5.980817532,-1.078060653,4.902756879,
136,C=CC=C,136,60u,-6.485289399,-0.937677117,5.547612282,duplicate
137,c1sc(cc1)c1ccc(s1)c1sc(cc1)C=C,137,637,-5.285675489,-1.952308032,3.333367457,
138,C1=Cc2[nH]c(cc2C1),138,379,-5.036936218,-0.207051429,4.829884789,
139,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O),139,378,-7.227888097,-2.063602597,5.1642855,
140,c1oc2CCc2c1,140,776,-5.988899313,0.282073217,6.27097253,
141,c1c(CC)sc(c1),141,94,-6.222563476,-0.347271696,5.87529178,
142,C1C[C@@H]2[C@@H](CC1)N(CC)[C@@H]1[C@@H](S2)CCCC1C=C,142,366,-5.303879906,0.301012341,5.604892247,
143,c1cCcc1C=C,143,305,-5.8540669,-0.979228902,4.874837998,
144,c1sc(nn1)C=C,144,607,-7.051177362,-1.911953548,5.139223814,
145,c1sccc1OC=C,145,614,-6.026124488,-0.618052189,5.408072299,
146,C#Cc1sc(cc1)C#C,146,181,-6.14522872,-1.838754922,4.306473798,
147,c1sc(c2c1CC[C@@H](N)C2),147,312,-6.234073892,-0.425422794,5.808651098,
148,c1c(OC)sc(OC)c1,148,156,-5.168231151,0.385775806,5.554006957,
149,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1),149,939,-6.815254654,-1.854401468,4.960853186,
150,c1sc2c(c1)n(C)c1c2sc(c1)C=C,150,85,-5.111304934,-1.374583116,3.736721818,
151,c1sc2c(c1)n(C)c1c2sc(c1),151,3d,-5.269620772,-0.758109187,4.511511584,duplicate
152,c1sc(c(c1OC)C(F)(F)F)C=C,152,337,-6.119024156,-1.59273679,4.526287366,
153,c1sc(c2c1cc(C)c(C)c2),153,249,-5.373649897,-1.439727172,3.933922725,
154,N(CC)c1ccc(c(c1)C=C)N(CC)C=C,154,206,-4.90474331,-0.956752298,3.947991012,
155,c1sc(c2c1C[C@H](N(=O)=O)[C@@H](N(=O)=O)C2),155,569,-6.756151526,-2.470984242,4.285167284,
156,C1=Cc2[nH]c(cc2C1)C=C,156,942,-4.869069184,-0.803443355,4.065625829,
157,c1sccc1SC=C,157,126,-5.817739701,-0.786953256,5.030786445,
158,c1c2C(=O)OCc2ccc1,158,195,-7.453443268,-1.570069706,5.883373562,
159,c1sc(c2c1c(C=C)ccc2),159,382,-5.491774519,-1.800278024,3.691496495,
160,c1sc(c2c1C(=O)NC2=O),160,154,-7.526560259,-1.986403897,5.540156362,
161,c1n(CC)c(cc1)C=C,161,210,-5.2966961,-0.553098613,4.743597487,
162,c1scc2c1[C@@H](CC[C@H]2N(=O)=O)NC=C,162,698,-5.545136045,-1.979900376,3.565235669,
163,c1sc(c2c1CCC[C@H]2N(=O)=O),163,771,-6.664558004,-1.725718828,4.938839176,
164,c1sc(c2c1c(C=C)ccc2C),164,214,-5.398439469,-1.740902781,3.657536688,
165,C1=C/C(/C(=C1)OC)=C\1/C=C(C=C1OC)C=C,165,551,-5.246735997,-2.686090241,2.560645756,
166,c1cc2c(s1)c1c([nH]2)cc(s1),166,157,-5.319526452,-0.762952814,4.556573638,
167,c1oc(c(c1C#N)C(F)(F)F)C=C,167,833,-7.01713592,-2.051792856,4.965343064,
168,c1sc(c2c1SCCCS2),168,31,-5.838474776,-0.765020879,5.073453897,
169,c1cc2c(cs1)c1c(ccs1)c2C=C,169,16,-5.075984556,-1.941532323,3.134452233,16
170,c1c2nsnc2c(c2c1nc(CC)c(CC)n2),170,712,-6.309231738,-3.099295123,3.209936615,
171,c1oc(cc1C)C=C,171,500,-6.367899484,0.226153821,6.594053305,
172,c(s1)c2NCOc2c1,172,64,-5.381976581,-0.036626524,5.345350057,
173,c1sc(c2c1OCCCC2)C=C,173,231,-5.819508441,-1.10472781,4.714780631,
174,c1nc2c(c(=O)c3c2ncc3)c1C=C,174,127,-6.91871234,-3.982631105,2.936081235,
175,c1sc(c2c1[C@H](C#N)CC[C@H]2OC),175,183,-6.817703679,-0.956697876,5.861005803,
176,c1scc(C#N)c1N,176,86,-6.03521309,-1.363181545,4.672031545,
177,c1sccc1/C=C(/Cc1ccc(CC)cc1)C=C,177,585,-5.777303583,-1.375535514,4.401768069,
178,c1cc2c(s1)cc(s2)C=C,178,138,-5.736214391,-1.529987336,4.206227055,
179,c1cc2c(C(=O)N(C2=O)CC)cc1C=C,179,360,-6.816043784,-2.442140174,4.37390361,
180,C1=C2OCCSC2=C([S@@]1NC),180,541,-3.792858905,0.645671744,4.438530649,
