,SMILES,new name,old name,homo,lumo,bandgap,
152,C1=CC=C(C1=O)C=C,151,122,-6.164603226,-3.027212164,3.137391062,duplicate?
153,c1sc(c2c1cc(OC)cc2)C=C,152,349,-5.256559307,-1.794427576,3.462131731,
154,c1sc(c(c1C=C)OC)C=C,153,482,-5.827889548,-1.330473461,4.497416087,
155,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2)C=C,154,419,-6.069934818,-1.378447132,4.691487685,
156,c1sc(c2c1cc(S)c(O)c2)C=C,155,493,-5.275171894,-1.944335096,3.330836798,
157,c1sc(c2c1c(C(=O)O)ccc2O),156,958,-5.922666802,-2.132719515,3.789947287,
158,c1sc(c2c1C(=O)SC2=O)C=C,157,371,-6.931229577,-2.676511834,4.254717744,
159,N1[C@@H]2C[C@@H]3NSN[C@@H]3C[C@@H]2N(S1)C=C,158,804,-5.086107191,0.039755834,5.125863025,
160,c1sc(c(c1)C#N)C=C,159,47,-6.572093717,-2.102814203,4.469279515,
161,c1sc(c2c1[C@H](C#N)CC[C@H]2OC)C=C,160,568,-6.330946423,-1.509524374,4.821422049,
162,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)C=C,161,121,-6.003593461,-1.365684993,4.637908468,
163,C1SC[C@](C1)(C(=O)N)NC=C,162,796,-5.980246092,0.331353036,6.311599128,
164,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,163,187,-4.689855002,-2.575693652,2.11416135,
165,c1scc(C)c1C=CC=C,164,304,-5.651532561,-1.468326337,4.183206224,
166,c1oc(cc1C(=O)O)C=C,165,850,-6.468227861,-1.534041832,4.934186028,
167,c1sc(c2c1SCCCS2)C=C,166,754,-5.748432303,-1.433087594,4.31534471,
168,C1=CC(C#N)=C/C/1=C/1\C(=CC(=C1)C#N),167,315,-7.165165854,-4.300868253,2.864297602,
169,c1sc(cc1)C=C,168,324,-5.988953736,-1.268676405,4.720277331,duplicate?
170,c1sc(c2c1scn2)C=C,169,436,-5.812515115,-1.832605149,3.979909966,duplicate?
171,c1[nH]cnc1,170,167,-6.340035026,0.626242816,6.966277841,
172,c1c2c(ncc(CC)n2)c(s1),171,81,-6.285476199,-2.292423134,3.993053065,
173,c1scc2c1c(c(cc2)O)C=C,172,286,-5.380044572,-1.714126778,3.665917794,
174,C1=C2C(C(=O)N1)=C(OC2=O),173,289,-6.401940927,-2.784404975,3.617535951,
175,c1scc2c1nc(c(NC)n2)N(C)C=C,174,398,-5.638471096,-1.70492933,3.933541766,
176,c1c(C(=O)C)scc1C=C,175,24,-6.4371,-1.8596,4.5775,
177,c1sc(c2c1CC[C@@H](N)C2)C=C,176,679,-5.791535137,-1.117952543,4.673582594,
178,c(o1)c2c(=O)Nc(=O)c2c1C=C,177,447,-6.745702354,-2.229728102,4.515974252,
179,c1sc(c2c1c(C#N)ccc2),178,638,-6.158916047,-2.39903734,3.759878707,
180,Sc1cscc1SC=C,179,148,-6.028165342,-0.910601789,5.117563552,
181,c1sc(c(c1C#N)C#N)C=C,180,842,-7.112484613,-2.611912005,4.500572608,
182,c1sc(c2c1C[C@H](C(F)(F)F)CC2)C=C,181,75,-5.873196504,-1.218797936,4.654398567,
183,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,182,874,-5.067657872,-1.801556959,3.266100913,
184,c1sc(c2c1CC[C@@H](C=O)C2),183,810,-6.235461673,-0.873975265,5.361486408,
185,c1sc(c2c1oc(=S)o2)C=C,184,793,-6.509262629,-2.029234617,4.480028012,
186,c1sc(c2c1sc(=O)s2)C=C,185,160,-6.238590982,-1.79627795,4.442313032,
