Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),fund bg,Delta HOMO,delta LUMO,optical bandgap (cm-1),opt bg (nm),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
45_45_35_35_45_10331,-8.28,-7.64,-3.27,-2.65,4.37,0.64,0.62,16018.2,624.2898703,0.173710326,-4482.589122,5.2315,5.889541176,0.173710326,1.064038067,1.985936436,16018.2,2.802927442,22607.9,13.9962947
49_45_45_45_49_10001,-7.56,-6.86,-3.46,-3.25,3.4,0.7,0.21,11154.1,896.5313203,0.687352842,-6364.909182,9.25472,9.68378023,0.687352842,0.687352842,1.382885318,11154.1,1.382885318,11154.1,19.47626188
38_29_44_29_38_10201,-6.59,-6.01,-2.93,-2.72,3.08,0.58,0.21,10432.1,958.5797682,0.119616597,-7562.691165,14.40762,9.356295201,0.119616597,0.485099781,1.293371758,10432.1,1.682978908,13574.6,18.51471499
30_45_44_45_30_10201,-7.05,-5.98,-3.36,-2.93,2.62,1.07,0.43,6403.8,1561.572816,0.234865866,-6219.772942,8.01157,9.465039441,0.234865866,0.385968377,0.793943124,6403.8,1.670469326,13473.7,20.74940581
51_45_8_45_51_10201,-7.49,-6.67,-3.29,-2.94,3.38,0.82,0.35,11608.7,861.4228983,0.659604383,-5178.275367,3.59219,8.894532489,0.659604383,1.38125209,1.439246626,11608.7,2.316615892,18685.4,18.90006774
45_45_45_7_42_10023,-7.47,-6.75,-3.36,-3.08,3.39,0.72,0.28,11403.8,876.9006822,0.739700354,-8915.363272,4.7484,9.367027349,0.739700354,1.809485395,1.413843124,11403.8,2.251402412,18159.4,19.12519316
42_45_14_45_42_10201,-7.38,-6.68,-3.22,-3.09,3.46,0.7,0.13,12064.7,828.8643729,0.799834667,-11686.10984,7.61579,9.491882487,0.799834667,1.818545309,1.495781506,12064.7,2.331964616,18809.2,19.21201869
42_45_5_45_42_10201,-7.18,-6.8,-3.07,-3.02,3.73,0.38,0.05,13481.9,741.7352154,0.352979739,-11186.53802,6.42164,9.903636282,0.352979739,1.069051041,1.671485962,13481.9,2.454915582,19800.9,18.41740366
38_45_45_44_45_10023,-7.22,-6.33,-3.68,-3.26,2.65,0.89,0.42,7831.5,1276.894592,0.746580181,-5771.430238,6.8656,9.361921367,0.746580181,0.746580181,0.97094937,7831.5,0.97094937,7831.5,19.84151222
42_45_45_63_45_10023,-7.11,-6.55,-3.26,-2.9,3.29,0.56,0.36,11031,906.5361255,0.352548382,-8746.781519,10.18442,10.43869015,0.352548382,0.357401532,1.36762338,11031,1.702022236,13728.2,19.92007284
51_60_63_60_51_10201,-7.14,-6.08,-2.46,-2.35,3.62,1.06,0.11,17804.7,561.6494521,0.997026426,-4240.951175,10.18789,8.646000052,0.997026426,0.997026426,2.207426706,17804.7,2.207426706,17804.7,19.57903857
42_58_63_58_42_10201,-7.17,-5.94,-2.46,-2.35,3.48,1.23,0.11,13672.9,731.3737393,0.356416274,-9634.979206,3.72158,6.47372255,0.356416274,0.356416274,1.695166142,13672.9,1.695166142,13672.9,17.31116245
45_14_14_44_42_10023,-6.93,-6.11,-3.07,-2.63,3.04,0.82,0.44,10788.8,926.8871422,1.289572947,-8943.763935,14.45254,8.184736067,1.289572947,2.180377651,1.337595424,10788.8,2.222068744,17922.8,17.92267807
53_45_45_44_45_10023,-7.07,-6.16,-3.54,-3.06,2.62,0.91,0.48,7758.3,1288.942165,1.001271486,-5355.476632,13.059,7.723889102,1.001271486,1.001271486,0.961874034,7758.3,0.961874034,7758.3,17.6710418
45_45_1_45_45_10201,-7.4,-6.93,-3.22,-3.12,3.71,0.47,0.1,13342.3,749.495964,0.67305612,-5349.440321,5.07357,9.863857056,0.67305612,1.90811621,1.654178354,13342.3,2.447836324,19743.8,18.74557767
5_50_50_63_42_10023,-6.82,-6.24,-2.94,-2.65,3.3,0.58,0.29,12283.8,814.0803334,0.548080268,-8381.267434,14.72063,7.974752742,0.548080268,0.918866769,1.522945524,12283.8,1.79888781,14509.5,16.61233103
39_45_44_45_39_10201,-6.54,-5.48,-2.84,-2.5,2.64,1.06,0.34,5769.8,1733.162328,0.100392117,-4897.725554,8.01249,6.853468575,0.100392117,0.52461298,0.715339804,5769.8,1.646429604,13279.8,17.11072273
61_45_44_45_61_10201,-6.32,-5.4,-2.81,-2.56,2.59,0.92,0.25,6622.8,1509.935375,0.413553322,-6040.405629,6.29779,7.243444152,0.413553322,1.483111413,0.821094744,6622.8,1.603234972,12931.4,17.0520191
45_47_45_47_45_01010,-6.69,-6.16,-2.88,-2.78,3.28,0.53,0.1,10482,954.0164091,0.223349085,-5605.15058,6.81724,7.878256192,0.223349085,0.223349085,1.29955836,10482,1.29955836,10482,16.26670528
45_4_68_39_38_02413,-7.17,-6.56,-3.39,-2.8,3.17,0.61,0.59,12234.2,817.380785,1.402739394,-6547.763764,8.18492,8.347491801,1.402739394,1.402739394,1.516796116,12234.2,1.516796116,12234.2,17.25324271
45_45_19_45_45_00200,-6.73,-6.08,-2.89,-2.81,3.19,0.65,0.08,9862.3,1013.96226,0.481832417,-6650.92104,2.60276,9.388369865,0.481832417,0.481832417,1.222727954,9862.3,1.222727954,9862.3,18.85673181
51_45_19_26_26_10244,-6.73,-5.69,-2.89,-2.23,2.8,1.04,0.66,9172.7,1090.191547,0.579502431,-5026.983738,9.80414,6.619227815,0.579502431,1.0741458,1.137231346,9172.7,1.767000154,14252.3,16.7030732
26_45_45_45_26_10001,-7.4,-6.63,-3.08,-2.89,3.55,0.77,0.19,10987.1,910.1582765,0.262739103,-5345.8325,4.79085,7.32651404,0.262739103,0.262739103,1.362180658,10987.1,1.362180658,10987.1,16.52815634
28_45_21_45_28_10201,-7.17,-6.46,-3.15,-2.96,3.31,0.71,0.19,12041,830.495806,0.521679963,-6140.502737,5.32564,8.656093539,0.521679963,0.521679963,1.49284318,12041,1.49284318,12041,18.10368731
51_51_25_51_51_11311,-7.36,-6.87,-2.94,-2.63,3.93,0.49,0.31,14003.8,714.0918893,0.430498111,-4405.27974,3.54549,5.755742236,0.430498111,0.430498111,1.736191124,14003.8,1.736191124,14003.8,13.17380356
51_44_45_4_51_13021,-6.99,-6.64,-3.15,-2.68,3.49,0.35,0.47,11576.6,863.8114818,0.447037783,-7567.571753,3.31742,8.946522002,0.447037783,1.366234229,1.435266868,11576.6,2.050108484,16535.8,16.9718073
38_60_38_60_38_13131,-7.25,-7.18,-2.62,-2.59,4.56,0.07,0.03,19750.1,506.3265502,0.488013298,-5257.034316,11.21132,6.296688374,0.488013298,0.488013298,2.448617398,19750.1,2.448617398,19750.1,12.13158639
32_30_30_30_32_13331,-7.98,-7.24,-3.07,-2.8,4.17,0.74,0.27,18332.1,545.4912421,2.29942345,-5042.850418,7.16014,6.220368444,2.29942345,2.29942345,2.272813758,18332.1,2.272813758,18332.1,14.87734385
51_38_63_38_51_10201,-6.77,-5.97,-2.58,-2.28,3.39,0.8,0.3,13514.1,739.9678854,0.983800885,-6635.584675,13.93916,8.55881742,0.983800885,1.608530803,1.675478118,13514.1,2.122512804,17119.8,18.35268809
51_7_7_7_51_10001,-7.09,-6.46,-2.63,-2.19,3.83,0.63,0.44,15053.4,664.3017524,1.288908347,-5946.185342,7.48134,5.934493642,1.288908347,1.288908347,1.866320532,15053.4,1.866320532,15053.4,14.01564425
68_4_4_45_38_10024,-6.36,-6.1,-2.64,-1.52,3.46,0.26,1.12,10802.6,925.7030715,0.16008712,-10404.32248,6.88755,7.710342288,0.16008712,2.317666187,1.339306348,10802.6,2.75384376,22212,14.88663783
32_64_64_64_32_10001,-7.94,-7.62,-3.73,-3.5,3.89,0.32,0.23,16772.7,596.2069315,0.1106471,-3685.961188,3.97866,9.359289119,0.057214397,0.1106471,2.079479346,16772.7,2.378531504,19184.8,17.41253762
32_63_63_18_48_10023,-6.78,-5.99,-2.93,-2.23,3.06,0.79,0.7,11796.4,847.7162524,1.375797555,-5570.838053,14.88244,8.515886443,1.375797555,1.375797555,1.462517672,11796.4,1.462517672,11796.4,18.25102213
4_32_52_52_32_02441,-6.78,-6.19,-2.49,-1.56,3.7,0.59,0.93,19201.6,520.7899342,0.58172933,-7702.354692,4.10573,5.868107037,0.58172933,0.691464676,2.380614368,19201.6,2.854304754,23022.3,13.75402989
38_38_48_47_45_11350,-7.25,-6.22,-3.09,-2.55,3.13,1.03,0.54,12054.4,829.5726042,0.12493273,-4454.37589,7.77248,6.670475856,0.12493273,0.787821769,1.494504512,12054.4,2.007905692,16195.4,16.73109176
45_59_77_61_18_01246,-6.72,-6.03,-2.7,-2.6,3.33,0.69,0.1,13563.6,737.2673921,0.105643237,-6194.689479,6.73714,6.867571261,0.105643237,0.105643237,1.681615128,13563.6,1.681615128,13563.6,15.55579213
45_4_10_4_45_02120,-6.62,-6.32,-2.73,-2.62,3.59,0.3,0.11,13890.8,719.9009416,0.233774352,-10123.2215,10.36771,8.973657451,0.233774352,1.173753861,1.722181384,13890.8,2.160624256,17427.2,16.79642281
32_63_58_32_45_10312,-7.23,-6.28,-2.96,-2.65,3.32,0.95,0.31,12190.5,820.3108978,1.071729983,-4705.126106,9.00683,7.345877764,1.071729983,1.071729983,1.51137819,12190.5,1.51137819,12190.5,17.32072018
32_59_59_59_32_10001,-7.27,-6.64,-3.28,-2.86,3.36,0.63,0.42,11106.2,900.3979759,0.787763627,-3572.808728,6.58895,5.686344966,0.787763627,0.787763627,1.376946676,11106.2,1.376946676,11106.2,13.67394352
64_45_64_45_64_02020,-7.31,-7.04,-3.58,-3.22,3.46,0.27,0.36,13183.2,758.5411736,0.354953845,-4544.261097,8.72134,9.035569211,0.354953845,0.399270815,1.634453136,13183.2,1.708841136,13783.2,16.75402531
56_4_4_4_56_10001,-6.77,-6.49,-2.37,-2.15,4.12,0.28,0.22,19247.4,519.5506926,1.714576441,-11049.782,0.43784,7.412585013,1.714576441,1.714576441,2.386292652,19247.4,2.386292652,19247.4,14.56172607
28_4_45_4_28_10201,-6.86,-6.61,-2.99,-2.54,3.62,0.25,0.45,12255.5,815.9601811,0.24978504,-9928.454477,4.00813,9.53993284,0.24978504,0.677183869,1.51943689,12255.5,2.286203598,18440.1,17.36343402
42_45_45_79_51_10023,-7.1,-6.71,-3.25,-2.9,3.46,0.39,0.35,11412.5,876.2322015,0.40885864,-8628.299433,13.60704,9.871006214,0.40885864,0.40885864,1.41492175,11412.5,1.41492175,11412.5,18.41502206
51_45_45_77_32_10023,-7.81,-6.8,-3.14,-2.88,3.66,1.01,0.26,12241.3,816.9067011,0.440591425,-5708.995545,13.28187,8.961756135,0.440591425,0.440591425,1.517676374,12241.3,1.517676374,12241.3,19.8010847
51_4_63_4_51_10201,-6.62,-6.12,-2.7,-2.52,3.42,0.5,0.18,14505.2,689.4079365,0.489717368,-9486.918372,10.67686,10.99001371,0.489717368,1.086334542,1.798354696,14505.2,2.054571764,16571.8,20.42394538
5_45_45_63_51_10023,-7.3,-6.57,-3.57,-3.29,3,0.73,0.28,10407.1,960.8824745,0.507863082,-5781.456526,15.80266,10.39726963,0.507863082,0.724397663,1.290272258,10407.1,1.928050174,15551.3,20.58638679
45_60_45_60_45_01010,-6.74,-6.68,-2.65,-2.61,4.03,0.06,0.04,13311.5,751.2301394,0.135337001,-6918.16617,8.03973,8.021092904,0.078377377,0.078377377,1.65035977,13311.5,1.65035977,13311.5,14.46354143
