gen,filename,deltaHOMO,summedoscs,PCE,
79,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
113,38_45_45_45_38_10001,0.65,10.239704,20.029019,35
62,12_45_63_45_12_10201,0.93,9.362387,20.012353,1
47,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
48,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
49,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
50,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
51,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
52,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
53,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
54,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
55,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
57,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
58,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
59,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
68,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
84,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
85,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
98,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
111,45_45_63_45_45_00200,0.73,9.978679,20.009988,17
49,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
50,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
51,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
52,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
53,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
54,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
55,51_45_19_45_51_10201,0.84,9.629208,19.996816,7
85,60_45_45_44_45_10023,0.91,9.407331,19.989142,3
90,60_45_45_44_45_10023,0.91,9.407331,19.989142,3
91,60_45_45_44_45_10023,0.91,9.407331,19.989142,3
68,45_63_63_63_45_02220,0.55,10.515649,19.983495,5
87,45_63_63_63_45_02220,0.55,10.515649,19.983495,5
88,45_63_63_63_45_02220,0.55,10.515649,19.983495,5
95,45_63_63_63_45_02220,0.55,10.515649,19.983495,5
114,45_63_63_63_45_02220,0.55,10.515649,19.983495,5
87,45_73_73_63_26_10023,1.09,8.842783,19.977658,1
87,45_17_44_17_45_10201,1.34,8.068984,19.975887,1
25,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
26,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
27,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
28,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
29,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
30,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
31,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
32,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
33,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
34,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
35,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
36,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
37,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
38,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
39,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
40,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
41,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
42,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
43,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
44,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
45,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
46,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
47,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
48,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
49,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
50,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
51,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
52,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
53,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
54,32_64_45_64_32_10201,0.91,9.397701,19.975881,30
75,45_82_44_82_45_10201,1.05,8.94006,19.941409,1
18,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
19,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
20,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
21,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
22,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
23,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
24,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
25,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
26,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
27,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
28,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
29,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
30,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
31,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
32,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
33,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
34,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
35,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
36,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
37,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
38,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
39,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
40,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
41,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
42,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
43,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
44,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
45,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
46,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
47,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
48,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
49,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
50,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
51,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
52,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
53,32_44_63_45_32_13021,0.97,9.179847,19.931195,36
62,42_45_55_45_42_10201,0.83,9.610691,19.928767,1
80,42_45_45_63_45_10023,0.56,10.43869,19.920073,4
81,42_45_45_63_45_10023,0.56,10.43869,19.920073,4
89,42_45_45_63_45_10023,0.56,10.43869,19.920073,4
96,42_45_45_63_45_10023,0.56,10.43869,19.920073,4
110,51_82_44_82_51_10201,1.05,8.909251,19.898985,1
88,45_45_45_44_5_10023,0.84,9.525912,19.854577,1
45,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
46,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
47,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
48,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
49,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
50,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
51,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
52,51_45_21_45_51_10201,0.64,10.139453,19.848424,8
