gen,filename,deltaHOMO,summedoscs,PCE,donor
7,110_110_580_110_110_11011,0.930000,4.443378,13.238878,PBDB-T-SF,
7,260_99_837_99_422_10204,0.770000,4.919075,13.213112,PBDB-T-SF,
7,302_302_130_302_302_00100,0.240000,6.553244,13.208214,PBDB-T-SF,
7,764_277_277_277_764_02220,1.030000,4.014819,13.074252,PBDB-T-SF,
7,30_834_172_23_834_10350,0.250000,5.593743,11.929530,PBDB-T-SF,
7,495_121_495_121_495_01010,0.580000,4.296791,11.547778,PBDB-T-SF,
7,154_580_580_121_88_10035,0.780000,3.492932,11.291864,PBDB-T-SF,
7,580_102_580_102_580_01010,0.470000,4.374550,11.186802,PBDB-T-SF,
7,110_158_862_158_110_13031,0.150000,4.362010,9.807934,PBDB-T-SF,
7,214_100_131_158_580_10234,0.460000,3.372241,9.764072,PBDB-T-SF,
7,154_102_102_88_580_13370,0.350000,3.429487,9.374850,PBDB-T-SF,
8,764_764_764_764_764_00000,0.820000,6.366845,15.419442,PBDB-T-SF,
8,834_102_834_834_214_01003,0.990000,5.500316,14.949582,PBDB-T-SF,
8,764_110_764_110_764_01010,0.900000,5.651692,14.775076,PBDB-T-SF,
8,154_154_580_154_154_11011,1.260000,4.520762,14.749585,PBDB-T-SF,
8,764_764_110_764_764_00100,0.810000,5.899047,14.732735,PBDB-T-SF,
8,214_158_100_158_214_13031,1.260000,4.448856,14.650571,PBDB-T-SF,
8,102_50_834_50_102_13031,0.970000,5.158485,14.393780,PBDB-T-SF,
8,764_495_110_495_764_02120,0.600000,6.247461,14.318951,PBDB-T-SF,
8,834_834_50_147_147_00133,1.280000,4.136530,14.305599,PBDB-T-SF,
8,260_88_88_6_422_13370,1.620000,3.081919,14.300099,PBDB-T-SF,
8,214_102_834_102_214_13031,1.480000,3.457719,14.221876,PBDB-T-SF,
8,764_764_30_764_764_00100,0.550000,6.243450,14.100677,PBDB-T-SF,
8,154_102_580_102_154_13031,1.250000,4.001904,13.992569,PBDB-T-SF,
8,102_158_834_158_102_13031,1.080000,4.487107,13.937344,PBDB-T-SF,
