Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
260_189_276_86_260_13051,-7.82,-6.67,-2.71,-2.5,1.1500000000000004,0.20999999999999996,17967.1,1.591592309,-4463.064656586737,4.33444,5.763905051,1.591592309,1.591592309,2.2275610579999996,17967.1,2.2275610579999996,17967.1,15.993343757464002
260_88_672_86_260_13051,-8.26,-6.97,-3.0,-2.58,1.29,0.41999999999999993,17164.6,0.312513749,-4611.321715833075,3.05951,5.026400897,0.011608051,1.14501396,2.1280671079999998,17164.6,2.879981012,23229.4,15.573500537405996
158_86_580_164_158_13051,-7.76,-6.5,-3.29,-3.16,1.2599999999999998,0.1299999999999999,13125.7,0.265364645,-3416.649631719599,2.53069,4.239767486,0.265364645,0.700830824,1.627324286,13125.7,1.7148541659999998,13831.7,14.362656330458998
260_160_580_86_260_13051,-8.16,-6.66,-2.69,-2.46,1.5,0.22999999999999998,16144.7,0.149923288,-5130.241955879559,4.68089,4.911572227999999,0.149923288,0.446954754,2.0016199059999997,16144.7,2.137464792,17240.4,16.308931460192994
260_32_580_201_260_13051,-7.87,-6.59,-3.22,-2.68,1.2800000000000002,0.54,12584.2,1.204851747,-4941.893140200666,8.21033,5.6449315470000005,1.204851747,1.204851747,1.5601891159999999,12584.2,1.5601891159999999,12584.2,16.382667242456
260_88_672_88_260_13031,-8.38,-6.95,-2.9,-2.62,1.4300000000000006,0.2799999999999998,17123.4,0.158408214,-4193.404015041901,4.47056,4.86600956,0.014496193,0.158408214,2.122959132,17123.4,3.0843124499999997,24877.5,15.948341666357
260_88_672_32_260_13051,-8.11,-6.78,-2.99,-2.97,1.3299999999999992,0.020000000000000018,15236.9,1.061919905,-4688.622753833121,2.55242,5.078337041,1.061919905,1.061919905,1.8890708619999999,15236.9,1.8890708619999999,15236.9,15.815216607693996
260_181_580_175_260_13051,-8.08,-6.79,-3.16,-2.63,1.29,0.5300000000000002,14591.3,1.361281167,-5218.472911844903,3.56213,5.40104157,1.361281167,1.361281167,1.8090293739999996,14591.3,1.8090293739999996,14591.3,16.089380744127
260_119_580_175_260_13051,-8.07,-6.7,-3.18,-2.62,1.37,0.56,14135.2,1.09753894,-4821.566802752366,5.6239,5.647870698,1.09753894,1.09753894,1.7524820959999998,14135.2,1.7524820959999998,14135.2,16.769664453383
158_86_158_86_158_13131,-8.06,-7.99,-3.47,-3.25,0.07000000000000028,0.2200000000000002,19039.3,0.110285865,-2915.054235391688,4.35553,4.834850054,0.110285865,0.136863736,2.360492414,19039.3,2.5364572279999997,20458.6,10.118635026595
